item_id,position,src,alt,alt_status,http_status,broken
254735959828,0,https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/10110-Aquaseal_FD-Comp-0.75oz.jpg,"Responsive image",generic,200,no
254735968039,0,https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/ttb.jpg,"Responsive image",generic,200,no
254735978393,0,https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_repair/gear_aid_10410_package_2pk.jpg,"Responsive image",generic,200,no
254735978393,1,https://secureimages.channeladvisor.com/images/channeladvisor/channeladvisor_poweredby-en.gif,,missing,200,no
254847472929,0,https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/14110-Aquaseal_NEO-PKG-1.5oz.jpg,"Responsive image",generic,200,no
254847472929,1,https://secureimages.channeladvisor.com/images/channeladvisor/channeladvisor_poweredby-en.gif,,missing,200,no
254913999821,0,https://s3.amazonaws.com/usurper-products/72995/muYqoiuInhKQ44Lk9SqpTeBsPnKnsv-metaVFRYXzc0MzMwREZfbWFpbl9ub19wYWNrYWdpbmcuanBn-.jpg,"Responsive image",generic,200,no
255033244446,0,https://s3.amazonaws.com/DOWS_products/1000x1000/home/kitchen/12inchsharpener.jpg,"Responsive image",generic,200,no
255033244446,1,https://secureimages.channeladvisor.com/images/channeladvisor/channeladvisor_poweredby-en.gif,,missing,200,no
255290973091,0,https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/gold_panning/accessories/GP3-SS20BK_Black_Scoop_Stock1.jpg,"Responsive image",generic,200,no
255290973091,1,https://secureimages.channeladvisor.com/images/channeladvisor/channeladvisor_poweredby-en.gif,,missing,200,no
255343573163,0,https://s3.amazonaws.com/DOWS_products/1000x1000/616Vpp4hHAL._SL1498_.jpg,"Responsive image",generic,200,no
255343573163,1,https://secureimages.channeladvisor.com/images/channeladvisor/channeladvisor_poweredby-en.gif,,missing,200,no
255353500529,0,https://s3.amazonaws.com/usurper-products/72851/9xbbVv7iirV36KpVt01xsjqsXytQvR-metaMzYyMjVfbWFpbi5qcGc=-.jpg,"Responsive image",generic,200,no
255457181082,0,https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/gear_aid_10510_main.jpg,"Responsive image",generic,200,no
255682695078,0,https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/gold_panning/GP1011G8_gold_pan_dual_riffle_green_8_s1.jpg,"Responsive image",generic,200,no
255682695078,1,https://secureimages.channeladvisor.com/images/channeladvisor/channeladvisor_poweredby-en.gif,,missing,200,no
256012360865,0,https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/gear_aid_14414_main.jpg,"Responsive image",generic,200,no
256016084770,0,https://s3.amazonaws.com/DOWS_products/1600x1600/sports_outdoors/camping_hiking/gear_repair/zipper_lube.jpg,"Responsive image",generic,200,no
256110410273,0,https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_repair/gear_aid_20420_main.jpg,"Responsive image",generic,200,no
256110410273,1,https://secureimages.channeladvisor.com/images/channeladvisor/channeladvisor_poweredby-en.gif,,missing,200,no
256201111293,0,https://usurper.xyz/livewire/preview-file/xmM9BLws1JlL6DrJvXrLrqX3HNGLgM-metaMzYyMTVfbWFpbi5qcGc=-.jpg?expires=1760633999&signature=a18ed96652fa1aa090aeb97bdc6c7d5a4a34b33dc140f558f1bf8c614a3c4ded,"Responsive image",generic,401,yes
256224656914,0,https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/gold_panning/pans/GP4-30_mini_sifter_stock1.jpg,"Responsive image",generic,200,no
256224656914,1,https://secureimages.channeladvisor.com/images/channeladvisor/channeladvisor_poweredby-en.gif,,missing,200,no
256249413299,0,https://s3.amazonaws.com/DOWS_products/1600x1600/camping_outdoors/gearaidmain.png,"Responsive image",generic,200,no
256264332056,0,https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_repair/outerwear/81fm6y1Hk2L._AC_SL1500_.jpg,"Responsive image",generic,200,no
256264332056,1,https://secureimages.channeladvisor.com/images/channeladvisor/channeladvisor_poweredby-en.gif,,missing,200,no
256277420435,0,https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/gold_panning/pans/GP1011BB8_8-inch-gold-pan-black-main.jpg,"Responsive image",generic,200,no
256277420435,1,https://secureimages.channeladvisor.com/images/channeladvisor/channeladvisor_poweredby-en.gif,,missing,200,no
256329855168,0,https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/gold_panning/pans/GP1014BL14_14-inch-gold-pan-blue-main.jpg,"Responsive image",generic,200,no
256329855168,1,https://secureimages.channeladvisor.com/images/channeladvisor/channeladvisor_poweredby-en.gif,,missing,200,no
256376275265,0,https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/gear_aid_10591_main.jpg,"Responsive image",generic,200,no
256376275265,1,https://secureimages.channeladvisor.com/images/channeladvisor/channeladvisor_poweredby-en.gif,,missing,200,no
256378769153,0,https://s3.amazonaws.com/DOWS_products/1000x1000/toys/PCM2_wristrocket_main.jpg,"Responsive image",generic,200,no
256380454290,0,https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_aid_91500.jpg,"Responsive image",generic,200,no
256443890038,0,https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/gold_panning/pans/GP1014BB14_14-inch-gold-pan-black-main.jpg,"Responsive image",generic,200,no
256443890038,1,https://secureimages.channeladvisor.com/images/channeladvisor/channeladvisor_poweredby-en.gif,,missing,200,no
256444840061,0,https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_repair/carabiners-colors-new.jpg,"Responsive image",generic,200,no
256444840061,1,https://secureimages.channeladvisor.com/images/channeladvisor/channeladvisor_poweredby-en.gif,,missing,200,no
256446183294,0,https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/combo.jpg,"Responsive image",generic,200,no
256446183296,0,https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/gold_panning/pans/GP4-20_mini_sifter_stock1.jpg,"Responsive image",generic,200,no
256446183296,1,https://secureimages.channeladvisor.com/images/channeladvisor/channeladvisor_poweredby-en.gif,,missing,200,no
256446183297,0,https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/10785-TenaciousTape-NylonStrip-PKG-Reflective.jpg,"Responsive image",generic,200,no
256446183331,0,https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_repair/gear_aid_36808_main.jpg,"Responsive image",generic,200,no
256446183331,1,https://secureimages.channeladvisor.com/images/channeladvisor/channeladvisor_poweredby-en.gif,,missing,200,no
256446183341,0,https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/pcf.jpg,"Responsive image",generic,200,no
256446183341,1,https://secureimages.channeladvisor.com/images/channeladvisor/channeladvisor_poweredby-en.gif,,missing,200,no
256446183347,0,https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/bcdfront.jpg,"Responsive image",generic,200,no
256446183347,1,https://secureimages.channeladvisor.com/images/channeladvisor/channeladvisor_poweredby-en.gif,,missing,200,no
256446183378,0,https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/gold_panning/accessories/GP-SB50AF_aluminum_sluice_box_stock4.jpg,"Responsive image",generic,200,no
256446183378,1,https://secureimages.channeladvisor.com/images/channeladvisor/channeladvisor_poweredby-en.gif,,missing,200,no
256446183403,0,https://s3.amazonaws.com/DOWS_products/1000x1000/Home_Decor/Personal_Care/4pk_scissors.jpg,"Responsive image",generic,200,no
256446183403,1,https://secureimages.channeladvisor.com/images/channeladvisor/channeladvisor_poweredby-en.gif,,missing,200,no
256446183412,0,https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/leatherwater.jpg,"Responsive image",generic,200,no
256446183412,1,https://secureimages.channeladvisor.com/images/channeladvisor/channeladvisor_poweredby-en.gif,,missing,200,no
256446183413,0,https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/sts.jpg,"Responsive image",generic,200,no
256446183413,1,https://secureimages.channeladvisor.com/images/channeladvisor/channeladvisor_poweredby-en.gif,,missing,200,no
256446183433,0,https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/gold_panning/GP-SB32_Sluice_Box_Green_Stock4.jpg,"Responsive image",generic,200,no
256446183433,1,https://secureimages.channeladvisor.com/images/channeladvisor/channeladvisor_poweredby-en.gif,,missing,200,no
256446183453,0,https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_repair/gear_aid_10670_package.jpg,"Responsive image",generic,200,no
256446183460,0,https://s3.amazonaws.com/DOWS_products/1000x1000/tools/multi-tools/woodburningPen.jpg,"Responsive image",generic,200,no
256446183460,1,https://secureimages.channeladvisor.com/images/channeladvisor/channeladvisor_poweredby-en.gif,,missing,200,no
256446183485,0,https://s3.amazonaws.com/DOWS_products/1600x1600/camping_outdoors/microfiber_towel_parent.jpg,"Responsive image",generic,200,no
256446183505,0,https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/campingpat.jpg,"Responsive image",generic,200,no
256446183505,1,https://secureimages.channeladvisor.com/images/channeladvisor/channeladvisor_poweredby-en.gif,,missing,200,no
