numeric_id,title,changes
8461244170540,"20oz Rock Pick Mining Hammer, 11-inch Pointed Tip Gold Prospectors Tool",condition:'New'->'new'
8461244367148,"Multi Riffle Plastic Sluice Box Gold Prospecting Equipment, Green",condition:'New'->'new'
8461244793132,"7pc Beginner Sluice Box Gold Panning Kit with Gold Prospecting Equipment (Aluminum or Plastic)",condition:'New'->'new'
8491279384876,"ASR Outdoor X Pan for Gold with Bobby Bo 3oz Beginner Paydirt Gold Panning Kit, 6pc",condition:''->'new'
8491328143660,"24pc Gold Panning Kit with 5 Gallon Bucket and 10lb Pan for Gold with Bobby Bo Paydirt (2 Colors)",condition:''->'new'
8491384897836,"7pc Kids Starter Gold Panning Kit Beginner Prospecting Equipment with Paydirt (3 Colors)",condition:''->'new'
8491401380140,"ASR Outdoor Gold Panning Paydirt 1LB Advanced Bag Gold Prospecting Concentrate Flakes (Green or Black)",condition:''->'new'
8493498204460,"ASR Outdoor 6pc Gold Panning Kit with 1lbs Bobby Bo Intermediate Unclassified Paydirt Bag (Green or Black)",condition:''->'new'
8493515178284,"ASR Outdoor Beginner Gold Panning Kit with 1LB Guaranteed Gold Paydirt (3 Colors), 6pc",condition:''->'new'
8493529727276,"Dual Riffle Gold Pans Gold Prospecting Equipment (3 Colors and Sizes)",condition:''->'new'
8493540180268,"17pc Complete Backpack Sluice Box Gold Panning Kit with 10lb Bobby Bo Intermediate Gold Paydirt (3 Colors)",condition:''->'new'
8493678985516,"15pc Travel Backpack Gold Panning Kit with Mini Sluice Box and 3lb Gold Bobby Bo Paydirt (2 Styles)",condition:''->'new'
8495190245676,"5pc Beginners Gold Panning Kit with Pan, Glass Vials, Snifter Bottle, Magnifying Tweezers",condition:''->'new'
8495203287340,"50 Inch Aluminum Folding Gold Sluice Box Prospecting Equipment",condition:''->'new'
8502255157548,"Stackable 5 Gallon Bucket Classifier Screens Sifting Sieves (Many Sizes)",condition:''->'new'
8502335045932,"Large Gold Panning Prospector's Sand Scoop Hand Trowel (4 Colors)",condition:''->'new'
8502378823980,"Small Stackable 6 Inch Classifier Screen Sifting Sieves, Assorted Stainless Steel Mesh Sizes",condition:''->'new'
8502395011372,"Mini Portable Aluminum Sluice Box with Rubber Matting Gold Prospecting Equipment, 12 Inch",condition:''->'new'
8502409855276,"Mini Portable 3 Riffle Rubber Sluice Box Gold Prospecting Equipment, 12 Inch",condition:''->'new'
8502466216236,"8.5 inch Large Plastic Sand Scoop for Metal Detector Treasure Hunting (3 Colors)",condition:''->'new'
8502535192876,"16pc Beginner Geology Rock Hounding Kit with Mining Tools and Tool Bag",condition:''->'new'
8502573924652,"3oz Plastic Heavy Duty Gold Snifter Bottle with Squeeze Nozzle (Multi-Packs)",condition:''->'new'
8502621208876,"Large Rubber Riffled Sluice Box Matting for Gold Recovery, 27 x 10 inch",condition:''->'new'
8502631498028,"20pc Mini Pocket Sluice Box with 3.5 Gallon Bucket Gold Panning Kit (2 Styles)",condition:''->'new'
8504457167148,"4x Magnification Steel Magnifying Tweezers Gold Prospecting Equipment, 1 Pair",condition:''->'new'
8517722669356,"3mL Gold Panning Precision Plastic Dropper Pipettes 5.5 Inch (Multiple Pack Sizes)",condition:''->'new'
8521682682156,"ASR Outdoor Black Drawstring Backpack Gym Bag Hiking Gear, 20 x 16 Inches",condition:''->'new'
8521704636716,"30L Heavy Stitch Gold Panning Backpack Camping Gear Canvas Rucksack (4 Colors)",condition:''->'new'
8521725116716,"7pc Classic Field Beginner Gold Panning Kit with Dual Riffle Gold Pans (2 Colors)",condition:''->'new'
