numeric_id,title,handle,onlineStoreUrl,likely_reason,mc_disapproval_reason_TOFILL
9516247875884,"11 Inch Stainless Steel Full Tang Fixed Blade Knife with Guthook for Fishing or Hunting",11-inch-full-tang-hunting-guthook-knife-for-fishing-cleaning-fixed-blade,,"weapons/blade policy (verify)",
9930931896620,"12 Inch Full Tang Steel Axe Hatchet with Gut Hook Hex Holes Paracord Handle and Sheath, Black",12-inch-stainless-steel-full-tang-gut-hook-hunting-knife-with-sheath,https://asroutdoor.com/products/12-inch-stainless-steel-full-tang-gut-hook-hunting-knife-with-sheath,"weapons/blade policy (verify)",
9513212182828,"14 in 1 Stainless Steel ECD Utility Multitool Pocket Knife with Carry Pouch",stainless-steel-multi-tool-edc-utility-17-function-pocket-knife-with-carry-pouch,https://asroutdoor.com/products/stainless-steel-multi-tool-edc-utility-17-function-pocket-knife-with-carry-pouch,"weapons/blade policy (verify)",
9513182429484,"3 in 1 Hiking Camping Survival Multi Tool Fire Starter Pocket Knife",3-in-1-hiking-camping-survival-multi-tool-fire-starter-pocket-knife,https://asroutdoor.com/products/3-in-1-hiking-camping-survival-multi-tool-fire-starter-pocket-knife,"weapons/blade policy (verify)",
9513197666604,"38pc Compact Survival Kit in Illuminated Dry Box",38pc-compact-survival-kit-in-illuminated-dry-box,https://asroutdoor.com/products/38pc-compact-survival-kit-in-illuminated-dry-box,"weapons/blade policy (verify)",
9512958918956,"3pc Reusable Camping Cutlery Plastic Utensils Set",3pc-reusable-camping-cutlery-plastic-utensils-set,https://asroutdoor.com/products/3pc-reusable-camping-cutlery-plastic-utensils-set,"weapons/blade policy (verify)",
9511368261932,"6 in 1 Camping Kitchen Multi-Tool with Carrying Case and Bottle Opener",6-in-1-camping-kitchen-multi-tool-with-carrying-case-and-bottle-opener,https://asroutdoor.com/products/6-in-1-camping-kitchen-multi-tool-with-carrying-case-and-bottle-opener,"weapons/blade policy (verify)",
9883653177644,"6.25 Inch 440 Stainless Steel Mini Clip Point Fixed Blade Pocket Knife (2 Colors)",6-25-inch-440-stainless-steel-mini-clip-point-fixed-blade-pocket-knife-2-colors,https://asroutdoor.com/products/6-25-inch-440-stainless-steel-mini-clip-point-fixed-blade-pocket-knife-2-colors,"weapons/blade policy (verify)",
9512984052012,"7 Function Small Pocket Camping Utensil Flatware, Spoon Fork Knife",7-function-small-pocket-camping-utensil-flatware-spoon-fork-knife,https://asroutdoor.com/products/7-function-small-pocket-camping-utensil-flatware-spoon-fork-knife,"weapons/blade policy (verify)",
9979838169388,"7 Inch Folding Tactical Pocket Knife with Drop Point 440 Stainless Steel Blade, Black",7-inch-folding-tactical-pocket-knife-with-drop-point-440-stainless-steel-blade-black,https://asroutdoor.com/products/7-inch-folding-tactical-pocket-knife-with-drop-point-440-stainless-steel-blade-black,"weapons/blade policy (verify)",
9860432789804,"7 Inch Matte Black Curved Hawkbill Full Tang Fixed Blade Knife with Sheath and Lanyard (3.25 Inch Blade)",matte-black-curved-hawkbill-full-tang-fixed-blade-knife-with-sheath-and-lanyard-7-inch,https://asroutdoor.com/products/matte-black-curved-hawkbill-full-tang-fixed-blade-knife-with-sheath-and-lanyard-7-inch,"weapons/blade policy (verify)",
9882392428844,"7.5 Inch Drop Point Fixed Blade Knife with Finger Hole with Spin Bearings and Sheath, Brown",7-5-inch-drop-point-fixed-blade-knife-with-finger-hole-with-spin-bearings-and-sheath-brown,https://asroutdoor.com/products/7-5-inch-drop-point-fixed-blade-knife-with-finger-hole-with-spin-bearings-and-sheath-brown,"weapons/blade policy (verify)",
10099787170092,"8 Inch American Back Lock Folding Pocket Knife (2 Styles)",back-lock-folding-american-eagle-pocket-knife-8-inch,https://asroutdoor.com/products/back-lock-folding-american-eagle-pocket-knife-8-inch,"weapons/blade policy (verify)",
