item_id,status,notes,html_bytes
126097498290,ok,,4027
126099617598,needs_review,MSPUT8LBS,
126112000074,ok,,4156
126113669997,ok,,3718
126115129678,ok,,3410
126145377750,ok,,4842
126165743707,needs_review,"MCN-CMFM-17 Instantly field camouflages gear while quieting clanking objects protects it scratches all from and your the",
126240080796,ok,,4690
126246015049,ok,,6312
126261745604,needs_review,616588038627,
126273747000,ok,,4675
126300556081,needs_review,ASRO10PCKPD,
126318905098,ok,,6171
126319915613,ok,,5468
126328889625,ok,,5602
126329788905,ok,,4678
126335800057,needs_review,81795,
126366423877,ok,,4695
126369525294,ok,,5108
126370118291,ok,,4257
126373906372,ok,,5562
126383530718,ok,,3499
126384427949,ok,,3801
126386406454,ok,,4682
126391796563,ok,,5636
126396166504,ok,,6947
126409555016,ok,,5211
126412730192,ok,,6407
126412730309,ok,,4470
126414603429,ok,,4600
126414603992,ok,,5119
126415790575,ok,,5044
126418260377,ok,,3375
126419572927,ok,,5404
126421703850,ok,,4213
126428136149,ok,,3690
126431926007,ok,,6068
126431926030,ok,,5103
126439889588,ok,,6574
126440196718,ok,,5749
126443316370,ok,,4523
126447017429,ok,,5984
126448866212,ok,,5436
126448866471,ok,,6615
126450542804,ok,,4277
126450542814,ok,,5852
126453713695,needs_review,emergency!,
126453713734,ok,,5624
126454417969,ok,,4688
126459398545,ok,,3567
126462946756,needs_review,19550-2,
126464661439,ok,,3017
126468846680,ok,,6346
126469785044,needs_review,50DBS-1-510,
126469785057,ok,,4204
126470733977,ok,,5392
126470733996,ok,,7741
126473385852,ok,,6299
126475110167,ok,,3573
126476748263,ok,,5680
126478317875,ok,,6623
126479943435,ok,,5814
126481444436,ok,,4096
126481444509,ok,,6079
126482220912,ok,,3518
126486323016,ok,,5439
126487251794,ok,,4241
126489346392,ok,,5539
126493144658,ok,,3556
126494001373,needs_review,"The newest addition ASR Outdoor classifier screen product line up are these large, six inch deep stackable gallon sifting screens built side handle, ideal working with and sifting out gold rich pay dirt or other valuable sifted items from unwanted raw material. Importantly, these heavy duty plastic sifting screen is able be stacked on top a five gallon bucket, and are also compatible with all other sizes of ASR Outdoor stainless steel mesh classifiers. To Note: Top Diameter: inches Bottom Diameter: inches inches holes per square inch (1/4 inch) These heavy duty plastic gold rush sifting screens are ideal for working with coarse or more fine raw materials. Designed to be stacked on top of a five gallon bucket, use these plastic sifting screens or soil sifters to separate high value pay dirt from other unwanted organic material, like rocks, gravels, plant matter and aggregates. Two important design features to note: depth and built handles. The depth of this plastic sifting screen is intentional and will allow you to move through much more raw material in comparison to a more shallow classifier screen. Lastly, when carrying and working with heavier and large amounts of material, you'll appreciate the two built in side handles, making the plastic sifting screen easier to maneuver. ASR Outdoor heavy duty plastic sifting screen is made from tough and durable polypropylene plastic that will see you through many gold prospecting or rock hounding seasons to come. The high quality plastic material will never rust, making it a great classifier suitable for all types of weather. To maintain longevity, rinse and air dry between uses. The plastic classifier would also make a great gardening or foraging tool. for to to",
126495205134,ok,,6165
126495661048,ok,,4025
126495661368,needs_review,TTCTRI,
126501503524,ok,,5736
126505506359,needs_review,BBYDPRCG2PC,
126505662839,ok,,3817
126506952902,ok,,5649
126506982497,ok,,6469
126533983592,ok,,6241
126533983595,ok,,5159
126672923175,ok,,3582
126716474810,ok,,5526
126716494061,ok,,5632
