item_id,title,category_id,category_path,aspect_count,status
126487251794,"Girls Gold Star Bundle Set with Barbie Dangle Earrings Dress Up",19172,"Toys & Hobbies|Preschool Toys & Pretend Play|Dress-Up, Costumes",13,OK
127239775819,"DC Comics Superman 2pc Cinch Bag Drawstring Backpacks Bundle Boys Age 3 and Up",260988,"Clothing, Shoes & Accessories|Kids|Backpacks & Bags",28,OK
127752367320,"ASR Outdoor 5lb Rough Gemstone Paydirt Bag Gold Panning Kits (8 Styles)",14955,"Business & Industrial|Test, Measurement & Inspection|Test Meters & Detectors|Metal Detectors",11,OK
236206634313,"8pc ASR Outdoor Complete Gold Rush Sifting Classifier Sieve Set for Prospecting",15913,"Collectibles|Science & Medicine (1930-Now)|Mining|Equipment",6,OK
127502681657,"Disney Mickey Mouse Kids Pencil Case EVA Foam School Supplies Zipper Pen Holder",3142,"Home & Garden|School Supplies|Other School Supplies",13,OK
365737133639,"ASR Outdoor 5pc Gold Panning Classifier Screen Set Mesh Soil for Prospecting",15913,"Collectibles|Science & Medicine (1930-Now)|Mining|Equipment",6,OK
127815670306,"ASR Federal Bifold Leather ID Card Shield Badge Holder Police Gear Smooth Black",2996,"Clothing, Shoes & Accessories|Men|Men's Accessories|Wallets",21,OK
236206659191,"GEAR AID Care Kit with Revivex Pro Cleaner and Revivex Wash-In Water Repellent",87100,"Sporting Goods|Camping & Hiking|Outdoor Sleeping Gear|Sleeping Bags",11,OK
127239950660,"ASR Outdoor 50"" Aluminum Folding Sluice Box Gold Prospecting Backpack Kit Green",15913,"Collectibles|Science & Medicine (1930-Now)|Mining|Equipment",7,OK
127239967300,"ASR Outdoor Complete Fine Gold Recovery Kit Gold Prospecting Equipment, 18pc",15913,"Collectibles|Science & Medicine (1930-Now)|Mining|Equipment",4,OK
365405773744,"ASR Outdoor Gold Rush Sifting Classifier Sieve Mini 6 Inch Prospect Pan 0 Holes",15913,"Collectibles|Science & Medicine (1930-Now)|Mining|Equipment",2,OK
364534656652,"Heavy Duty 1/2"" Classifier Screen Sieve w/ Handles 5 Gallon Bucket Deep Stacking",15913,"Collectibles|Science & Medicine (1930-Now)|Mining|Equipment",7,OK
235392003566,"ASR Outdoor Complete Mini Sluice Box with 3.5 Gal Bucket Gold Panning Kit, 20pc",163824,"Business & Industrial|Test, Measurement & Inspection|Test Meters & Detectors|Metal Detector Accessories",12,OK
235436886860,"6inch ASR Outdoor Serrated Fixed Blade Tanto Point Hunting Neck Knife - Black",73522,"Collectibles|Knives, Swords & Blades|Collectible Fixed Blade Knives|Modern Fixed Blade|Factory Manufactured",17,OK
126383530718,"Diamond Sharpening Stone Knife and Blade Variety Coarse Grit Universal Set of 3",116005,"Home & Garden|Kitchen, Dining & Bar|Kitchen Tools & Gadgets|Sharpeners",13,OK
364899577155,"ToolTreaux 5 Pocket Heavy Duty Leather Tool Pouch DIY Woodworking, 10.5 x 9.5",42362,"Home & Garden|Tools & Workshop Equipment|Tool Boxes & Storage|Tool Bags, Belts & Pouches",19,OK
364899577169,"ASR Outdoor Technora Composite Survival Cord Rope 1200lb Strength 25' to 1000'",50816,"Sporting Goods|Outdoor Sports|Climbing & Caving|Ropes, Cords & Slings",10,OK
235054823492,"Paracord Mil-Spec Commercial Grade 550lb Type III Nylon Cord Rope Many Lengths",181413,"Sporting Goods|Camping & Hiking|Outdoor Survival Gear|Paracord & Paracord Supplies",20,OK
235349304256,"ASR Outdoor Aluminum Sluice Box with Rubber Sluice Box Matting for Gold",15913,"Collectibles|Science & Medicine (1930-Now)|Mining|Equipment",7,OK
126099617598,"Magnetic Separator Pick Up Tool Industrial Quality 8 lbs Quick Release Handle",11704,"Home & Garden|Tools & Workshop Equipment|Other Tools & Workshop Equipment",12,OK
365680010387,"Labrea Life + Home Solid Acacia Wooden Kitchen Utensils (Many Styles and Packs)",20649,"Home & Garden|Kitchen, Dining & Bar|Kitchen Tools & Gadgets|Cooking Utensils",13,OK
235792850839,"Kidplokio 15pc Space Toys Explorer Voyager Backpack Light Up Astronaut, 10 Inch",1187,"Toys & Hobbies|Robots, Monsters & Space Toys|Space Toys|1970-Now",11,OK
364849235207,"ASR Outdoor 30 Inch Portable Riffled Sluice Box for Gold Panning Dredging",15913,"Collectibles|Science & Medicine (1930-Now)|Mining|Equipment",4,OK
235480965677,"Fishing Fillet Knife with Sheath and Floating Handle for Outdoor Sports - 6 Inch",73522,"Collectibles|Knives, Swords & Blades|Collectible Fixed Blade Knives|Modern Fixed Blade|Factory Manufactured",18,OK
235480965695,"ASR Outdoor 13.5"" Collector's Hunting Knife with Animal Head Pommel Many Styles",73522,"Collectibles|Knives, Swords & Blades|Collectible Fixed Blade Knives|Modern Fixed Blade|Factory Manufactured",15,OK
126384427949,"Kids Camping Outdoor Survival Multitool with Whistle Compass, 7 in 1 Flashlight",75236,"Sporting Goods|Camping & Hiking|Camping Knives & Tools|Multi-Tools",18,OK
235480965806,"ASR Outdoor Gold Classifier Sifting Prospecting Pan 1/50"" Inch Mesh",15913,"Collectibles|Science & Medicine (1930-Now)|Mining|Equipment",5,OK
