item_id	new policy
366424712404	Sub $15 Listing Shipping Surcharge Flat Fee
365879908006	Sub $15 Listing Shipping Surcharge Flat Fee
365880019095	Sub $15 Listing Shipping Surcharge Flat Fee
365879950553	Sub $15 Listing Shipping Surcharge Flat Fee
125333139233	Sub $15 Listing Shipping Surcharge Flat Fee
235431271064	Sub $15 Listing Shipping Surcharge Flat Fee
363106327803	Sub $15 Listing Shipping Surcharge Flat Fee
127389878152	Sub $15 Listing Shipping Surcharge Flat Fee
235580958045	Sub $15 Listing Shipping Surcharge Flat Fee
235238649186	Sub $15 Listing Shipping Surcharge Flat Fee
126439889445	Sub $15 Listing Shipping Surcharge Flat Fee
236616299901	Sub $15 Listing Shipping Surcharge Flat Fee
127663835511	Sub $15 Listing Shipping Surcharge Flat Fee
236616368960	Sub $15 Listing Shipping Surcharge Flat Fee
126476748263	Sub $15 Listing Shipping Surcharge Flat Fee
365880019097	Sub $15 Listing Shipping Surcharge Flat Fee
236345056392	Sub $15 Listing Shipping Surcharge Flat Fee
124786190120	Sub $15 Listing Shipping Surcharge Flat Fee
127389768421	Sub $15 Listing Shipping Surcharge Flat Fee
364910897632	Sub $15 Listing Shipping Surcharge Flat Fee
126115129678	Sub $15 Listing Shipping Surcharge Flat Fee
363556924795	Sub $15 Listing Shipping Surcharge Flat Fee
363932435623	Sub $15 Listing Shipping Surcharge Flat Fee
236345137226	Sub $15 Listing Shipping Surcharge Flat Fee
234674158965	Sub $15 Listing Shipping Surcharge Flat Fee
236345137153	Sub $15 Listing Shipping Surcharge Flat Fee
235409096986	Sub $15 Listing Shipping Surcharge Flat Fee
235582224942	Sub $15 Listing Shipping Surcharge Flat Fee
235557930524	Sub $15 Listing Shipping Surcharge Flat Fee
364498198233	Sub $15 Listing Shipping Surcharge Flat Fee
127389878206	Sub $15 Listing Shipping Surcharge Flat Fee
235420587781	Sub $15 Listing Shipping Surcharge Flat Fee
365879907950	Sub $15 Listing Shipping Surcharge Flat Fee
365879996414	Sub $15 Listing Shipping Surcharge Flat Fee
127389878151	Sub $15 Listing Shipping Surcharge Flat Fee
236345069158	Sub $15 Listing Shipping Surcharge Flat Fee
365879907965	Sub $15 Listing Shipping Surcharge Flat Fee
126034088177	Sub $15 Listing Shipping Surcharge Flat Fee
125642527424	Sub $15 Listing Shipping Surcharge Flat Fee
126329788905	Sub $15 Listing Shipping Surcharge Flat Fee
236204075152	Sub $15 Listing Shipping Surcharge Flat Fee
236345031431	Sub $15 Listing Shipping Surcharge Flat Fee
126481444509	Sub $15 Listing Shipping Surcharge Flat Fee
127416297526	Sub $15 Listing Shipping Surcharge Flat Fee
234517180623	Sub $15 Listing Shipping Surcharge Flat Fee
365879950564	Sub $15 Listing Shipping Surcharge Flat Fee
126097498290	Sub $15 Listing Shipping Surcharge Flat Fee
126099617598	Sub $15 Listing Shipping Surcharge Flat Fee
236345160656	Sub $15 Listing Shipping Surcharge Flat Fee
127389932554	Sub $15 Listing Shipping Surcharge Flat Fee
126149513414	Sub $15 Listing Shipping Surcharge Flat Fee
365879907937	Sub $15 Listing Shipping Surcharge Flat Fee
363645713758	Sub $15 Listing Shipping Surcharge Flat Fee
365880019098	Sub $15 Listing Shipping Surcharge Flat Fee
124544600002	Sub $15 Listing Shipping Surcharge Flat Fee
235024112455	Sub $15 Listing Shipping Surcharge Flat Fee
235244121203	Sub $15 Listing Shipping Surcharge Flat Fee
365880019099	Sub $15 Listing Shipping Surcharge Flat Fee
236345056411	Sub $15 Listing Shipping Surcharge Flat Fee
235227727519	Sub $15 Listing Shipping Surcharge Flat Fee
127389857878	Sub $15 Listing Shipping Surcharge Flat Fee
235238649466	Sub $15 Listing Shipping Surcharge Flat Fee
364564395846	Sub $15 Listing Shipping Surcharge Flat Fee
126506952902	Sub $15 Listing Shipping Surcharge Flat Fee
127389857807	Sub $15 Listing Shipping Surcharge Flat Fee
236345031465	Sub $15 Listing Shipping Surcharge Flat Fee
236345031456	Sub $15 Listing Shipping Surcharge Flat Fee
236393816538	Sub $15 Listing Shipping Surcharge Flat Fee
236345031449	Sub $15 Listing Shipping Surcharge Flat Fee
234916203750	$3.5 Under 1lb Domestic Only
235571605042	$3.5 Under 1lb Domestic Only
236345137160	$3.5 Under 1lb Domestic Only
365879996354	$3.5 Under 1lb Domestic Only
235578359942	$3.5 Under 1lb Domestic Only
236344962479	$3.5 Under 1lb Domestic Only
365879950523	$3.5 Under 1lb Domestic Only
236345056421	Sub $15 Listing Shipping Surcharge Flat Fee
365879935306	Sub $15 Listing Shipping Surcharge Flat Fee
236345056403	Sub $15 Listing Shipping Surcharge Flat Fee
236345031423	Sub $15 Listing Shipping Surcharge Flat Fee
365879935292	Sub $15 Listing Shipping Surcharge Flat Fee
236344962482	Sub $15 Listing Shipping Surcharge Flat Fee
365879950544	Sub $15 Listing Shipping Surcharge Flat Fee
236345031445	Sub $15 Listing Shipping Surcharge Flat Fee
127389932542	Sub $15 Listing Shipping Surcharge Flat Fee
365879950527	Sub $15 Listing Shipping Surcharge Flat Fee
365879996376	Sub $15 Listing Shipping Surcharge Flat Fee
127389878164	Sub $15 Listing Shipping Surcharge Flat Fee
127389878229	Sub $15 Listing Shipping Surcharge Flat Fee
236345137167	Sub $15 Listing Shipping Surcharge Flat Fee
127389768419	Sub $15 Listing Shipping Surcharge Flat Fee
236345031475	Sub $15 Listing Shipping Surcharge Flat Fee
236345137203	Sub $15 Listing Shipping Surcharge Flat Fee
236345137161	Sub $15 Listing Shipping Surcharge Flat Fee
234090739207	$3.5 Under 1lb Domestic Only
127389857817	$3.5 Under 1lb Domestic Only
236345069145	$3.5 Under 1lb Domestic Only
127389878191	$3.5 Under 1lb Domestic Only
365879832386	$3.5 Under 1lb Domestic Only
365880042756	$3.5 Under 1lb Domestic Only
236345069159	Sub $15 Listing Shipping Surcharge Flat Fee
236818591093	Sub $15 Listing Shipping Surcharge Flat Fee
127389857796	Sub $15 Listing Shipping Surcharge Flat Fee
127389838859	Sub $15 Listing Shipping Surcharge Flat Fee
365879935296	Sub $15 Listing Shipping Surcharge Flat Fee
365879950556	Sub $15 Listing Shipping Surcharge Flat Fee
125770812748	Sub $15 Listing Shipping Surcharge Flat Fee
236345056399	Sub $15 Listing Shipping Surcharge Flat Fee
236345069129	Sub $15 Listing Shipping Surcharge Flat Fee
365879832355	Sub $15 Listing Shipping Surcharge Flat Fee
365879907953	Sub $15 Listing Shipping Surcharge Flat Fee
365879935267	Sub $15 Listing Shipping Surcharge Flat Fee
124544488500	Sub $15 Listing Shipping Surcharge Flat Fee
127916636595	Sub $15 Listing Shipping Surcharge Flat Fee
127389838860	$3.5 Under 1lb Domestic Only
236345137173	Sub $15 Listing Shipping Surcharge Flat Fee
365879832368	Sub $15 Listing Shipping Surcharge Flat Fee
365879950571	Sub $15 Listing Shipping Surcharge Flat Fee
365879907983	Sub $15 Listing Shipping Surcharge Flat Fee
236345137177	Sub $15 Listing Shipping Surcharge Flat Fee
127389838945	Sub $15 Listing Shipping Surcharge Flat Fee
127389768404	Sub $15 Listing Shipping Surcharge Flat Fee
127389857869	Sub $15 Listing Shipping Surcharge Flat Fee
365879996351	Sub $15 Listing Shipping Surcharge Flat Fee
235534435224	$3.5 Under 1lb Domestic Only
365879907987	Sub $15 Listing Shipping Surcharge Flat Fee
127389969242	Sub $15 Listing Shipping Surcharge Flat Fee
364709344786	$3.5 Under 1lb Domestic Only
365879935271	$3.5 Under 1lb Domestic Only
126421703850	$3.5 Under 1lb Domestic Only
236344962444	$3.5 Under 1lb Domestic Only
127389932573	Sub $15 Listing Shipping Surcharge Flat Fee
236345056409	Sub $15 Listing Shipping Surcharge Flat Fee
235365887228	Sub $15 Listing Shipping Surcharge Flat Fee
127389857859	Sub $15 Listing Shipping Surcharge Flat Fee
127389768437	Sub $15 Listing Shipping Surcharge Flat Fee
236345069190	Sub $15 Listing Shipping Surcharge Flat Fee
127389932565	Sub $15 Listing Shipping Surcharge Flat Fee
127389969234	$3.5 Under 1lb Domestic Only
236345160663	$3.5 Under 1lb Domestic Only
127389857835	$3.5 Under 1lb Domestic Only
365879832358	$3.5 Under 1lb Domestic Only
366409083367	Sub $15 Listing Shipping Surcharge Flat Fee
127389932540	Sub $15 Listing Shipping Surcharge Flat Fee
365879996395	Sub $15 Listing Shipping Surcharge Flat Fee
365879935279	Sub $15 Listing Shipping Surcharge Flat Fee
127389857797	Sub $15 Listing Shipping Surcharge Flat Fee
365879996383	Sub $15 Listing Shipping Surcharge Flat Fee
365879935317	Sub $15 Listing Shipping Surcharge Flat Fee
127389838872	Sub $15 Listing Shipping Surcharge Flat Fee
236860148544	$3.5 Under 1lb Domestic Only
236345069141	Sub $15 Listing Shipping Surcharge Flat Fee
236345069160	Sub $15 Listing Shipping Surcharge Flat Fee
365880042767	Sub $15 Listing Shipping Surcharge Flat Fee
127389838941	Sub $15 Listing Shipping Surcharge Flat Fee
236345137179	Sub $15 Listing Shipping Surcharge Flat Fee
365879996382	$3.5 Under 1lb Domestic Only
236345069143	Sub $15 Listing Shipping Surcharge Flat Fee
365879996392	Sub $15 Listing Shipping Surcharge Flat Fee
365879907976	Sub $15 Listing Shipping Surcharge Flat Fee
236345056435	Sub $15 Listing Shipping Surcharge Flat Fee
126505662839	Sub $15 Listing Shipping Surcharge Flat Fee
235100299670	Sub $15 Listing Shipping Surcharge Flat Fee
127389878177	Sub $15 Listing Shipping Surcharge Flat Fee
365879996340	Sub $15 Listing Shipping Surcharge Flat Fee
236345069128	Sub $15 Listing Shipping Surcharge Flat Fee
365879935275	Sub $15 Listing Shipping Surcharge Flat Fee
365880042761	$3.5 Under 1lb Domestic Only
127389768426	$3.5 Under 1lb Domestic Only
365879907969	$3.5 Under 1lb Domestic Only
236345160667	$3.5 Under 1lb Domestic Only
365879996424	$3.5 Under 1lb Domestic Only
127389857825	$3.5 Under 1lb Domestic Only
127468679386	$3.5 Under 1lb Domestic Only
365963343290	$3.5 Under 1lb Domestic Only
236345160655	$3.5 Under 1lb Domestic Only
127389932547	$3.5 Under 1lb Domestic Only
236015325652	$3.5 Under 1lb Domestic Only
236345137169	$3.5 Under 1lb Domestic Only
127389932570	$3.5 Under 1lb Domestic Only
127389857834	$3.5 Under 1lb Domestic Only
127239775819	Sub $15 Listing Shipping Surcharge Flat Fee
127389946578	Sub $15 Listing Shipping Surcharge Flat Fee
127389768444	Sub $15 Listing Shipping Surcharge Flat Fee
127389932548	$3.5 Under 1lb Domestic Only
236345031454	Sub $15 Listing Shipping Surcharge Flat Fee
366339232709	Sub $15 Listing Shipping Surcharge Flat Fee
