"sku","parent.sku","name","mpn","warranty","height","length","width","weight","brand_ebay","color","country_of_origin","department_ebay","features_ebay","material","model","mpn_ebay","number_of_pieces","package_includes","pattern","prop65_warn_type","shape","suitable_for","theme","type"
"MCN-GAAUAS-34OZ-CLR","MCN-AQUASEAL-PARENT","GEAR AID Aquaseal FD Flexible Repair Adhesive for Outdoor Gear and Vinyl, Clear Glue, 0.75 oz","","","","","","","","","","","","","","","","","","","","","",""
"SON-UTGCFGM15B15I-15X15-CHRCL","SON-GRAPHITECRUCIBLES-PARENT","Universal Tool Graphite Crucible for Melting Gold and Silver 1.75 by 1.75 Inch","","","","","","","","","","","","","","","","","","","","","",""
"SON-UTGCFGM2B2I-2X2-CHRCL","SON-GRAPHITECRUCIBLES-PARENT","Universal Tool Graphite Crucible for Melting Gold and Silver - 2 x 2 Inch","","","","","","","","","","","","","","","","","","","","","",""
"MCN-SGFRKFGA-SML","MCN-SEAMGRIP-REPAIRKIT-PARENT","GEAR AID Seam Grip WP Field Repair Kit for Tents and Outdoor Gear, Clear, 0.25 oz","","","","","","","","","","","","","","","","","","","","","",""
"KOL-FRUITVEGGIEPEELER-GRN","KOL-FRUITVEGGIEPEELER-PARENT","Universal Handy Helpers Fruit and Vegetable Peeler Dishwasher Safe - Green","","","","","","","","","","","","","","","","","","","","","",""
"KOL-FRUITVEGGIEPEELER-RED","KOL-FRUITVEGGIEPEELER-PARENT","Universal Handy Helpers Fruit and Vegetable Peeler Dishwasher Safe - Red","UHHFVP-R","","1","7","1","0.1","Universal","Red","","","","Plastic","","","1","(1) Fruit and Veggie Peeler - Red","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","",""
"MCN-BURIDIVEKNIFE-BLK","MCN-BURIDIVEKNIFE-PARENT","Tactical Buri Multipurpose Utility Dive Knife 8 Inch - Black","","","","","","","","","","","","","","","","","","","","","",""
"MCN-BURIDIVEKNIFE-ORG","MCN-BURIDIVEKNIFE-PARENT","Tactical Buri Multipurpose Utility Dive Knife 8 Inch - Orange","","","","","","","","","","","","","","","","","","","","","",""
"MCN-FSABRA-1OZ-CLR","MCN-FSABRA-1OZ-CLR-PARENT","GEAR AID Aquaseal SR Shoe and Boot Repair Adhesive, Clear Glue, 1 oz","","","","","","","","","","","","","","","","","","","","","",""
"MCN-FSABRA-1OZ-CLR-2PK","MCN-FSABRA-1OZ-CLR-PARENT","GEAR AID Aquaseal SR Shoe and Boot Repair Adhesive, Clear Glue, 1 oz, 2-pk","","","","","","","","","","","","","","","","","","","","","",""
"MCN-FSABRA-1OZ-CLR-3PK","MCN-FSABRA-1OZ-CLR-PARENT","GEAR AID Aquaseal SR Shoe and Boot Repair Adhesive, Clear Glue, 1 oz, 3-pk","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GA8OZSGWUSWUA-8OZ","MCN-SEAMGRIPWP-PARENT","GEAR AID Seam Grip WP Waterproof Sealant and Adhesive for Tents and Outdoor Fabric, Clear, 8 oz","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GAAUAS-34OZ-CLR-2PACK-2","MCN-AQUASEAL-PARENT","(2 Pack) Gear Aid Aquaseal FD Flexible Durable Repair Adhesive 3/4oz","GAARA-42","","0.75","8","5","0.16","Gear Aid","Clear","United States","","","","GAARA-42","","","(1) Aquaseal Repair Adhesive","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","",""
"MCN-GAAUAS-34OZ-CLR-2PK","MCN-AQUASEAL-PARENT","GEAR AID 2-Pack Aquaseal FD Flexible Repair Adhesive for Outdoor Gear and Vinyl, Clear Glue, 0.75 oz,","10113","","0.75","8","5","0.16","","","United States","","","","","","","","","","","","",""
"MCN-GAAUAS-34OZ-CLR-3","MCN-AQUASEAL-PARENT","Gear Aid Aquaseal FD Flexible Durable Repair Adhesive - 3/4oz","GAARA-42","","0.75","8","2","0.08","Gear Aid","Clear","United States","","","","GAARA-42","","","*(1) Aquaseal Repair Adhesive","","","","","",""
"MCN-GAMEAACCRA-3PC-SML-CLR-1","MCN-GAMEAACCRA-3PC-SML-CLR-PARENT","GEAR AID Aquaseal FD Flexible Durable Repair Adhesive and Cure Accelerator, 0.75 oz","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GAMEAACCRA-3PC-SML-CLR-1-2PK","MCN-GAMEAACCRA-3PC-SML-CLR-PARENT","GEAR AID Aquaseal FD Flexible Durable Repair Adhesive and Cure Accelerator, 0.75 oz, 2-pk","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GARNASFWAWK-KIT-SPECIAL-TAG","MCN-GARNASFWAWK-KIT-PARENT","GEAR AID Revivex Suede, Nubuck and Fabric Boot Care Kit with Spray, Cleaner, Brush and Eraser","GANSFBCK","","2","7","5","0.93","","Standard","United States","","","PVC","GANSFBCK-102","","","(1) 4oz Nubuck, Suede, & Fabric Water Repellent(1) 4oz Boot Cleaner Concentrate
(1) Specialized Boot Brush
(1) Stain and Scuff Eraser Block","","","","","",""
"MCN-GARNASFWAWK-SPECIAL-2PK-TAG","MCN-GARNASFWAWK-KIT-PARENT","GEAR AID 2PK Revivex Suede, Nubuck and Fabric Boot Care Kit with Spray, Cleaner, Brush and Eraser,","36700","","2","7","5","1.86","","","United States","","","PVC","36700","","","(1) 4oz Nubuck, Suede, & Fabric Water Repellent(1) 4oz Boot Cleaner Concentrate(1) Specialized Boot Brush(1) Stain and Scuff Eraser Block","","","","","",""
"MCN-GASG1OZGRT-1OZT-CLR","MCN-SEAMGRIPWP-PARENT","GEAR AID Seam Grip WP Waterproof Sealant and Adhesive for Tents and Outdoor Fabric, Clear, 1 oz","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GASG1OZGRT-1OZT-CLR-2PK","MCN-SEAMGRIPWP-PARENT","GEAR AID Seam Grip WP Waterproof Sealant and Adhesive for Tents and Outdoor Fabric, Clear, 1 oz","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GASG1OZGRT-1OZT-CLR-3PK","MCN-SEAMGRIPWP-PARENT","GEAR AID Seam Grip WP Waterproof Sealant and Adhesive for Tents and Outdoor Fabric, Clear, 1 oz, 3-pk","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GATTMCFSTP-2PC-3X5-CLR","MCN-GATTMCFSTP-2PC-3X5-CLR-PARENT","GEAR AID Tenacious Tape Flex Patches for Vinyl and Fabric Repair, Clear, two 3"" x 5"" Patches","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GATTMCFSTP-2PC-3X5-CLR-2PK","MCN-GATTMCFSTP-2PC-3X5-CLR-PARENT","GEAR AID Tenacious Tape Flex Patches for Vinyl and Fabric Repair, Clear, two 3"" x 5"" Patches, 2-pk","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GATTMCFSTP-2PC-3X5-CLR-WAL-RVW","MCN-GATTMCFSTP-2PC-3X5-CLR-PARENT","GEAR AID Tenacious Tape Flex Patches for Vinyl and Fabric Repair, Clear, two 3"" x 5"" Patches","10800","","0.25","6","3.5","0.05","Gear Aid","Clear","United States","","","Thermoplastic polyurethan","CTTMFP","","","(2) Clear Flex Patches","","","","","",""
"MCN-GATTMCFSTP-SQUIRRL","MCN-TENTAPE-GEARPATCHES-PARENT","GEAR AID Tenacious Tape Gear Patches for Jacket, Tent and Outerwear Repair, Camping, 3""x20""","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GATTMCFSTP-SQUIRRL-2PK","MCN-TENTAPE-GEARPATCHES-PARENT","GEAR AID Tenacious Tape Gear Patches for Jacket, Tent and Outerwear Repair, Camping, 3""x20"", 2-pk","","","","","","","","","","","","","","","","","","","","","",""
"MCN-IMFRKSDWR-3PC-10X6-BLCK","MCN-IMFRKSDWR-3PC-10X6-BLCK-PARENT","GEAR AID Wetsuit Repair Kits with Iron-On Neoprene Patch, Fix Seams and Tears","","","","","","","","","","","","","","","","","","","","","",""
"MCN-IMFRKSDWR-3PC-10X6-BLCK-2PK","MCN-IMFRKSDWR-3PC-10X6-BLCK-PARENT","GEAR AID Wetsuit Repair Kit with Iron-On Neoprene Patch, Fix Seams and Tears, 2-pk","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MGAA8OZWGRA-8OZ-CLR","MCN-AQUASEAL-PARENT","GEAR AID Aquaseal FD Flexible Repair Adhesive for Outdoor Gear and Vinyl, Clear Glue, 8 oz","10714","","0.8","4.5","2","0.5","Gear Aid","Clear","United States","","","Patented","10714-109","","1","(1) 8oz Tube of Aquaseal Adhesive for Gear Repair","","","","","",""
"MCN-MGAA8OZWGRA-8OZ-CLR-AMZN-HVAR","MCN-AQUASEAL-PARENT","Gear Aid Aquaseal Aquaseal FD Flexible Durable Repair Adhesive - 8oz","10714-11887","","0.8","4.5","2","0.5","","Clear","United States","","","Patented","10714-118","","","(1) 8oz Tube of Aquaseal Adhesive for Gear Repair","","","","","",""
"MCN-MTCARTRC-5FT-CLR","MCN-MTCARTRC-5FT-CLR-PARENT","GEAR AID Tenacious Tape Repair and Seam Tape for Tents and Vinyl, Clear Roll, 1.5""x 60""","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MGATSPWS-S-CLR","MCN-SEAMGRIP-TF-PARENT","GEAR AID Seam Grip TF Tent Fabric Sealer for Waterproofing, Clear, 4 fl oz","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MGATSPWS-S-CLR-2PK","MCN-SEAMGRIP-TF-PARENT","GEAR AID Seam Grip TF Tent Fabric Sealer for Waterproofing, Clear, 4 fl oz, 2-pk","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MGATTWP-STD-BLCK-2","MCN-TENTAPE-GEARPATCHES-PARENT","GEAR AID Tenacious Tape Gear Patches for Jacket, Tent and Outerwear Repair, 3""x20"", Wildlife, 3""x20""","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MGATTWP-STD-BLCK-2PK","MCN-TENTAPE-GEARPATCHES-PARENT","GEAR AID Tenacious Tape Gear Patches for Jacket, Tent and Outerwear Repair, 3""x20"", Wildlife, 3""x20"", 2-pk","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MINIPATCH-CLR-AMZN","MCN-TTAPEREPAIRPATCHES-AMZ-PARENT","GEAR AID Tenacious Tape Mini Patches to Repair Jackets, Tents and Rain Gear, Clear, 1.5""x2.5""","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MINIPATCH-CLR-AMZN-2PK","MCN-TTAPEREPAIRPATCHES-AMZ-PARENT","GEAR AID 2-Pack Tenacious Tape Mini Patches to Repair Jackets, Tents and Rain Gear, Clear","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MINIPATCH-CLR-AMZN-2PK-LH","MCN-TTAPEREPAIRPATCHES-AMZ-PARENT","GEAR AID 2-Pack Tenacious Tape Mini Patches to Repair Jackets, Tents and Rain Gear, Clear","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MINIPATCH-CLRBLK-AMZN","MCN-TTAPEREPAIRPATCHES-AMZ-PARENT","GEAR AID Tenacious Tape Mini Patches to Repair Jackets, Tents and Rain Gear, Black and Clear, 1.5""x2.5""","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MINIPATCH-CLRBLK-AMZN-2PK","MCN-TTAPEREPAIRPATCHES-AMZ-PARENT","GEAR AID 2-Pack Tenacious Tape Mini Patches to Repair Jackets, Tents and Rain Gear, Black and Clear","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MINITAPE-PATCHES-BLK-AMZN","MCN-TTAPEREPAIRPATCHES-AMZ-PARENT","GEAR AID Tenacious Tape Mini Patches to Repair Jackets, Tents and Rain Gear, Black, 1.5""x2.5""","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MINITAPE-PATCHES-BLK-AMZN-2PK","MCN-TTAPEREPAIRPATCHES-AMZ-PARENT","GEAR AID 2-Pack Tenacious Tape Mini Patches to Repair Jackets, Tents and Rain Gear, Black","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MINITAPE-PATCHES-BLK-AMZN-2PK-LH","MCN-TTAPEREPAIRPATCHES-AMZ-PARENT","GEAR AID 2-Pack Tenacious Tape Mini Patches to Repair Jackets, Tents and Rain Gear, Black","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MINITAPE-PATCHES-BLK-AMZN-LH","MCN-TTAPEREPAIRPATCHES-AMZ-PARENT","GEAR AID Tenacious Tape Mini Patches to Repair Jackets, Tents and Rain Gear, Black, 1.5""x2.5""","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MPCLAWFHAOSE-SML-PNK-2","MCN-CAMOFORM-EBAY2-PARENT","Gear Aid Pink Camo Lightweight Adhesive Wrap Hunting Outdoor Equipment","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MTCARTRC-5FT-CLR-2PK","MCN-MTCARTRC-5FT-CLR-PARENT","GEAR AID Tenacious Tape Repair and Seam Tape for Tents and Vinyl, Clear Roll, 1.5""x 60"", 2-Pk","","","","","","","","","","","","","","","","","","","","","",""
"MCN-SEAGB-COMBO-KIT-AMZVAR-HPR","MCN-SEAGLD-AMZN-PARENT","Sea Gold Anti Fog Gel and Sea Buff Dive Mask Precleaner Combo Pack","","","","","","","","","","","","","","","","","","","","","",""
"MCN-SEAGOLDGEL-2PK-AMZN-HPNR","MCN-SEAGLD-AMZN-PARENT","GEAR AID Sea Gold Anti-Fog Gel Coating for SCUBA Dive Masks, 1.25 fl oz, 2-pk","40858","","3.7","1.75","0.8","0.2","","Standard","","","","Liquid","","","","","","","","","",""
"MCN-SEAGOLDGEL-AMZN-HPNR","MCN-SEAGLD-AMZN-PARENT","GEAR AID Sea Gold Anti-Fog Gel Coating for SCUBA Dive Masks, 1.25 fl oz","40851","","3.7","1.75","0.8","0.1","","Sea Gold","United States","","","Liquid","","","","(1) 1-1/4 oz   Sea Gold Anti-Fog and Lens Cleaning Solution","","","","","",""
"MCN-SGFRKFGA-SML-2PK","MCN-SEAMGRIP-REPAIRKIT-PARENT","GEAR AID Seam Grip WP Field Repair Kit for Tents and Outdoor Gear, Clear, 0.25 oz, 2-pk","MCN10591-2","","1","4.5","7.5","0.2","Gear Aid","Standard","United States","","","Synthetic","80011-685","","","(1) Seam Grip 1/4oz (7g) Urethane Adhesive (2) Tenacious Tape 3"" (7.6cm) Adhesive Patches
(1) Application Brush
(1) Expert Field Repair Guide","","","","","","Air Pad"
"MCN-TTAPEOUTDOOR-BLK","MCN-TENTAPE-GEARPATCHES-PARENT","GEAR AID Tenacious Tape Gear Patches for Jacket, Tent and Outerwear Repair, Outdoor, 3""x20""","WildlifePatches","","1","7","5","0.04","Gear Aid","Black","United States","","","Nylon","","","","(1) Tenacious Tape Gear Patches, Outdoor, 3”x20”","","","","","",""
